time,seconds_elapsed,y,z,x
1761222775762543000,2.541543212890625,6.283950328826904,1.3609501123428345,-0.7639500498771667
1761222775772545500,2.551545654296875,6.261000156402588,1.3570500612258911,-1.8790501356124878
1761222775792552400,2.571552490234375,6.225000381469727,1.3590000867843628,-1.9150501489639282
1761222775812566500,2.59156640625,6.226950168609619,1.3609501123428345,-2.7169501781463623
1761222775832585700,2.611585693359375,6.223950386047363,1.3579500913619995,-2.7199501991271973
1761222775852601900,2.631601806640625,6.22605037689209,1.380000114440918,-2.7180001735687256
1761222775872609300,2.651609375,6.223050117492676,2.124000072479248,-2.7019500732421875
1761222775892615000,2.671614990234375,6.225000381469727,2.1259500980377197,-2.0299501419067383
1761222775912623900,2.691623779296875,6.226950168609619,2.1660001277923584,-2.0280001163482666
1761222775932637700,2.7116376953125,6.223950386047363,2.8720500469207764,-2.0310001373291016
1761222775952652000,2.731652099609375,6.22605037689209,2.874000072479248,-2.02905011177063
1761222775972662500,2.75166259765625,6.223050117492676,2.871000051498413,-2.032050132751465
1761222775992680200,2.77168017578125,6.225000381469727,2.8729500770568848,-2.0299501419067383
1761222776012700700,2.79170068359375,6.246000289916992,2.8750500679016113,-2.0280001163482666
1761222776032714200,2.81171435546875,7.009050369262695,2.8720500469207764,-2.0310001373291016
1761222776052726800,2.831726806640625,7.758000373840332,2.91195011138916,-2.02905011177063
1761222776072739300,2.8517392578125,7.774050235748291,3.6940500736236572,-2.013000011444092
1761222776092758300,2.87175830078125,8.523000717163086,3.696000099182129,-2.01104998588562
1761222776112773600,2.891773681640625,9.808950424194336,3.6979501247406006,-2.0089499950408936
1761222776132783000,2.911783203125,9.805950164794922,2.6230502128601074,-2.0119500160217285
1761222776152794600,2.931794677734375,9.808050155639648,1.7239500284194946,-2.047950029373169
1761222776172810200,2.951810302734375,9.80505084991455,0.9739500284194946,-2.070000171661377
1761222776192821500,2.971821533203125,8.158950805664062,0.9570000171661377,-2.0680501461029053
1761222776212828000,2.991827880859375,6.897000312805176,0.0010500000789761543,-2.0470499992370605
1761222776232839400,3.01183935546875,5.878950119018555,0,-1.2649500370025635
1761222776252850400,3.031850341796875,5.842950344085693,0,-1.2630000114440918
1761222776272861400,3.051861328125,5.839950084686279,-0.0010500000789761543,-1.2660000324249268
1761222776292872000,3.071871826171875,5.842050075531006,0,-1.264050006866455
1761222776312884700,3.091884765625,6.744000434875488,0.0010500000789761543,-1.2619500160217285
1761222776332896000,3.11189599609375,6.760050296783447,0,-1.2649500370025635
1761222776352907500,3.131907470703125,6.781050205230713,0,-1.2630000114440918
1761222776372923000,3.1519228515625,6.778050422668457,1.0320000648498535,-1.227000117301941
1761222776392936400,3.1719365234375,6.78000020980835,1.0339500904083252,0
1761222776412946400,3.191946533203125,6.7819504737854,1.0360500812530518,0.0010500000789761543
1761222776432959700,3.211959716796875,6.778950214385986,1.0330500602722168,0
1761222776452974600,3.231974609375,6.781050205230713,1.0350000858306885,0
1761222776472987600,3.251987548828125,6.778050422668457,1.0320000648498535,-0.0010500000789761543
1761222776492999700,3.271999755859375,6.78000020980835,1.0339500904083252,0
1761222776513014300,3.29201416015625,6.7819504737854,1.0360500812530518,0.0010500000789761543
1761222776533028400,3.3120283203125,6.778950214385986,1.0330500602722168,0
1761222776553044200,3.332044189453125,6.781050205230713,1.0350000858306885,0
1761222776573063200,3.352063232421875,6.778050422668457,1.0320000648498535,-0.0010500000789761543
1761222776593085000,3.3720849609375,6.78000020980835,1.0339500904083252,0
1761222776613105200,3.392105224609375,6.7819504737854,1.0549499988555908,0.0010500000789761543
1761222776633120500,3.41212060546875,6.778950214385986,1.0519500970840454,0
1761222776653137400,3.432137451171875,6.781050205230713,1.054050087928772,0
1761222776673153300,3.4521533203125,6.778050422668457,1.051050066947937,-0.0010500000789761543
1761222776693170000,3.472169921875,7.489050388336182,1.0530000925064087,0
1761222776713184000,3.49218408203125,7.510050296783447,1.7830500602722168,0.0010500000789761543
1761222776733198600,3.512198486328125,8.292000770568848,1.7800500392913818,0
1761222776753214700,3.532214599609375,8.332950592041016,1.7820000648498535,0
1761222776773227000,3.55222705078125,9.80505084991455,1.7790000438690186,-0.0010500000789761543
1761222776793240000,3.572239990234375,9.807000160217285,0.8040000200271606,0
1761222776813251300,3.592251220703125,9.808950424194336,0.0010500000789761543,0.0010500000789761543
1761222776833258800,3.6122587890625,9.805950164794922,0,-1.111050009727478
1761222776853268500,3.6322685546875,8.140950202941895,-0.7840500473976135,-1.1290500164031982
1761222776873281000,3.652281005859375,6.988950252532959,-0.7870500087738037,-1.8979500532150269
