time,seconds_elapsed,y,z,x
1761220872323905000,2.494905029296875,6.760050296783447,1.6459500789642334,1.1089500188827515
1761220872333913300,2.504913330078125,6.760950088500977,1.6470000743865967,1.1100000143051147
1761220872353931800,2.524931884765625,6.763050556182861,1.6489500999450684,1.0740000009536743
1761220872373950700,2.54495068359375,6.760050296783447,1.6459500789642334,1.0519500970840454
1761220872393969700,2.5649697265625,6.76200008392334,1.64805006980896,1.054050087928772
1761220872413990000,2.584989990234375,6.759000301361084,1.645050048828125,1.051050066947937
1761220872434005200,2.605005126953125,6.760950088500977,1.6470000743865967,1.0530000925064087
1761220872454020900,2.625020751953125,6.763050556182861,1.6489500999450684,1.0549499988555908
1761220872474037200,2.645037353515625,6.760050296783447,1.6459500789642334,1.0519500970840454
1761220872494049800,2.6650498046875,6.76200008392334,1.64805006980896,1.054050087928772
1761220872514069000,2.685069091796875,6.759000301361084,1.645050048828125,1.051050066947937
1761220872534092300,2.70509228515625,6.760950088500977,1.6470000743865967,1.0530000925064087
1761220872554112300,2.7251123046875,6.763050556182861,1.6489500999450684,1.0549499988555908
1761220872574130400,2.74513037109375,6.760050296783447,1.6459500789642334,1.0519500970840454
1761220872594151700,2.765151611328125,6.76200008392334,1.64805006980896,1.054050087928772
1761220872614176800,2.7851767578125,6.759000301361084,1.645050048828125,1.051050066947937
1761220872634196200,2.8051962890625,6.760950088500977,1.6470000743865967,1.0530000925064087
1761220872654214000,2.8252138671875,6.763050556182861,1.6489500999450684,1.0549499988555908
1761220872674231600,2.8452314453125,6.760050296783447,1.6459500789642334,1.0519500970840454
1761220872694252500,2.86525244140625,6.76200008392334,1.64805006980896,1.054050087928772
1761220872714274600,2.885274658203125,6.759000301361084,1.645050048828125,1.051050066947937
1761220872734291000,2.905291015625,6.760950088500977,1.6470000743865967,1.0530000925064087
1761220872754308400,2.925308349609375,6.763050556182861,1.6489500999450684,1.0549499988555908
1761220872774327300,2.945327392578125,6.760050296783447,1.6459500789642334,1.0519500970840454
1761220872794348500,2.9653486328125,6.76200008392334,1.64805006980896,1.054050087928772
1761220872814370300,2.985370361328125,6.759000301361084,1.645050048828125,1.051050066947937
1761220872834388200,3.00538818359375,6.760950088500977,1.6470000743865967,1.0530000925064087
1761220872854407000,3.025406982421875,6.763050556182861,1.6489500999450684,1.0549499988555908
1761220872874430700,3.0454306640625,6.760050296783447,1.6459500789642334,1.0519500970840454
1761220872894455600,3.06545556640625,6.76200008392334,1.64805006980896,1.054050087928772
1761220872914480000,3.085480224609375,6.759000301361084,1.645050048828125,1.051050066947937
1761220872934500900,3.1055009765625,6.760950088500977,1.6470000743865967,1.0530000925064087
1761220872954522600,3.125522705078125,6.763050556182861,1.6489500999450684,1.0549499988555908
1761220872974544400,3.14554443359375,6.760050296783447,1.6459500789642334,1.0519500970840454
1761220872994562300,3.165562255859375,6.76200008392334,1.64805006980896,1.054050087928772
1761220873014581500,3.18558154296875,6.759000301361084,1.645050048828125,1.051050066947937
1761220873034599400,3.205599365234375,6.760950088500977,1.6470000743865967,1.0530000925064087
1761220873054610700,3.225610595703125,6.763050556182861,1.6489500999450684,1.0549499988555908
1761220873074619000,3.245618896484375,6.760050296783447,1.6459500789642334,1.0519500970840454
1761220873094631400,3.26563134765625,6.76200008392334,1.64805006980896,1.054050087928772
1761220873114648000,3.28564794921875,6.759000301361084,1.645050048828125,1.051050066947937
1761220873134666800,3.305666748046875,6.760950088500977,1.6470000743865967,1.0530000925064087
1761220873154684000,3.325683837890625,6.763050556182861,1.6489500999450684,1.0549499988555908
1761220873174704000,3.3457041015625,6.760050296783447,1.6459500789642334,1.0519500970840454
1761220873194728000,3.36572802734375,6.76200008392334,1.64805006980896,1.054050087928772
1761220873214745300,3.385745361328125,6.759000301361084,1.645050048828125,1.051050066947937
1761220873234761000,3.405760986328125,6.760950088500977,1.6470000743865967,1.0530000925064087
1761220873254775800,3.42577587890625,6.763050556182861,1.6489500999450684,1.0549499988555908
1761220873274788900,3.445788818359375,6.760050296783447,1.6459500789642334,1.0519500970840454
1761220873294806000,3.465805908203125,6.76200008392334,1.64805006980896,1.054050087928772
1761220873314822000,3.48582177734375,6.759000301361084,1.645050048828125,1.051050066947937
1761220873334835700,3.505835693359375,6.760950088500977,1.6470000743865967,1.0530000925064087
1761220873354848500,3.5258486328125,6.763050556182861,1.6489500999450684,1.0549499988555908
1761220873374859300,3.545859375,6.760050296783447,1.6459500789642334,1.0519500970840454
1761220873394872600,3.56587255859375,6.76200008392334,1.64805006980896,1.054050087928772
1761220873414888700,3.585888671875,6.759000301361084,1.645050048828125,1.051050066947937
1761220873434907600,3.60590771484375,6.760950088500977,1.6470000743865967,1.0530000925064087
1761220873454927000,3.625927001953125,6.763050556182861,1.6489500999450684,1.0549499988555908
1761220873474944300,3.6459443359375,6.760050296783447,1.6459500789642334,1.0519500970840454
1761220873494963500,3.66596337890625,6.76200008392334,1.64805006980896,1.054050087928772
1761220873514986000,3.685986083984375,6.759000301361084,1.645050048828125,1.051050066947937
1761220873535007700,3.7060078125,6.760950088500977,1.6470000743865967,1.0530000925064087
1761220873555032300,3.7260322265625,6.763050556182861,1.6489500999450684,1.0549499988555908
1761220873575050800,3.74605078125,6.760050296783447,1.6459500789642334,1.0519500970840454
1761220873595066400,3.76606640625,6.76200008392334,1.64805006980896,1.054050087928772
1761220873615087900,3.786087890625,6.759000301361084,1.645050048828125,1.0320000648498535
1761220873635106600,3.8061064453125,6.760950088500977,1.6470000743865967,1.0339500904083252
1761220873655127800,3.8261279296875,6.763050556182861,1.6489500999450684,1.0360500812530518
1761220873675152400,3.84615234375,6.760050296783447,1.6459500789642334,1.0330500602722168
1761220873695169800,3.866169677734375,6.76200008392334,1.64805006980896,1.0350000858306885
1761220873715185400,3.886185302734375,6.759000301361084,1.645050048828125,1.0320000648498535
1761220873735199700,3.90619970703125,6.760950088500977,1.6470000743865967,1.0339500904083252
1761220873755212300,3.92621240234375,6.763050556182861,1.6489500999450684,1.0360500812530518
1761220873775229200,3.946229248046875,6.760050296783447,1.6459500789642334,1.0330500602722168
1761220873795246800,3.966246826171875,6.76200008392334,1.64805006980896,1.0350000858306885
1761220873815268900,3.986268798828125,6.759000301361084,1.645050048828125,1.0320000648498535
